Annotation	 MCP 1:1	 MCP 2:1	 MCP 3:1	 MCP 4:1	 MCP 7:1	 MCP Lambda:1	 MCP Lambda2:1	 Tail 1:1	 Tail 2:1	 Tail 3:1	 Tail 4:1	 Tail 7:1	 Tail Lambda:1	 Tail Lambda2:1	 SDS 	 SD MCP 1:1	 SD MCP 2:1	 SD MCP 3:1	 SD MCP 4:1	 SD MCP 7:1	 SD MCP Lambda:1	 SD MCP Lambda2:1	 SD Tail 1:1	 SD Tail 2:1	 SD Tail 3:1	 SD Tail 4:1	 SD Tail 7:1	 SD Tail Lambda:1	 SD Tail Lambda2:1
>gi|47779042|gb|AAT38405.1| putative primase/helicase protein [Burkholderia phage BcepC6B]	 -0.981437	 -0.968510	 -0.941425	 -0.984801	 -0.970669	 -0.993424	 -0.991694	 -0.700002	 -0.818853	 -0.896042	 -0.927950	 -0.967810	 -0.962219	 -0.970209	 0.000000	 0.021359	 0.029319	 0.066396	 0.026254	 0.027600	 0.006825	 0.009186	 0.175761	 0.108955	 0.096889	 0.056287	 0.020510	 0.031762	 0.024180	 
>gi|47779041|gb|AAT38404.1| gp45 [Burkholderia phage BcepC6B]	 -0.973756	 -0.989906	 -0.961284	 -0.991937	 -0.960022	 -0.993792	 -0.993359	 -0.286117	 -0.539417	 -0.504033	 -0.855862	 -0.794982	 -0.804365	 -0.903917	 0.000000	 0.050673	 0.011369	 0.043553	 0.018602	 0.067401	 0.013638	 0.005872	 0.322815	 0.531303	 0.542658	 0.223230	 0.443858	 0.380695	 0.133928	 
>gi|47779040|gb|AAT38403.1| putative prophage repressor protein [Burkholderia phage BcepC6B]	 -0.930210	 -0.952926	 -0.949328	 -0.965683	 -0.980150	 -0.994438	 -0.996421	 -0.082543	 -0.496381	 -0.519065	 -0.662064	 -0.869521	 -0.854764	 -0.825173	 0.000000	 0.048350	 0.055678	 0.083372	 0.036725	 0.012909	 0.003284	 0.003669	 0.254595	 0.296510	 0.157517	 0.128242	 0.058415	 0.082551	 0.141953	 
>gi|47779039|gb|AAT38402.1| gp43 [Burkholderia phage BcepC6B]	 -0.999893	 -0.999805	 -0.997816	 -0.998825	 -0.999094	 -0.999901	 -0.998667	 0.812114	 0.732008	 0.343737	 0.186180	 -0.102720	 -0.185244	 -0.491624	 0.000000	 0.000108	 0.000269	 0.005504	 0.003628	 0.001350	 0.000150	 0.001668	 0.217972	 0.251717	 0.528106	 0.442842	 0.317478	 0.545701	 0.293772	 
>gi|47779038|gb|AAT38401.1| gp42 [Burkholderia phage BcepC6B]	 -0.998671	 -0.960594	 -0.940876	 -0.986824	 -0.952305	 -0.999367	 -0.978186	 0.380981	 0.289787	 0.482034	 0.297322	 0.423784	 0.489513	 0.468039	 0.000000	 0.002178	 0.111386	 0.136380	 0.040516	 0.107867	 0.001477	 0.044951	 0.491620	 0.484577	 0.395142	 0.635868	 0.420070	 0.415063	 0.414720	 
>gi|47779037|gb|AAT38400.1| gp41 [Burkholderia phage BcepC6B]	 0.330004	 -0.045768	 -0.058830	 -0.301380	 -0.413707	 -0.813900	 -0.761148	 -0.784624	 -0.784388	 -0.713113	 -0.895694	 -0.803270	 -0.872164	 -0.862148	 0.000000	 0.721304	 0.649561	 0.614643	 0.615375	 0.358214	 0.314136	 0.208515	 0.136978	 0.096248	 0.434782	 0.042104	 0.282278	 0.188980	 0.203306	 
>gi|47779036|gb|AAT38399.1| gp40 [Burkholderia phage BcepC6B]	 -0.940620	 -0.929397	 -0.899133	 -0.953819	 -0.936096	 -0.991718	 -0.979182	 -0.971824	 -0.980121	 -0.990840	 -0.998199	 -0.998454	 -0.997752	 -0.998893	 0.000000	 0.101329	 0.155243	 0.260400	 0.099042	 0.069024	 0.009945	 0.030408	 0.029655	 0.024927	 0.016544	 0.001919	 0.001638	 0.002426	 0.001965	 
>gi|47779035|gb|AAT38398.1| gp39 [Burkholderia phage BcepC6B]	 -0.967767	 -0.949766	 -0.909591	 -0.971006	 -0.962593	 -0.994179	 -0.981793	 -0.725307	 -0.759163	 -0.885267	 -0.933063	 -0.968049	 -0.955038	 -0.978117	 0.000000	 0.030277	 0.053975	 0.127197	 0.070246	 0.028340	 0.006963	 0.023511	 0.149602	 0.117788	 0.098020	 0.033523	 0.017953	 0.027247	 0.021823	 
>gi|47779034|gb|AAT38397.1| gp38 [Burkholderia phage BcepC6B]	 0.617920	 0.203510	 0.133203	 -0.175817	 -0.369980	 -0.697374	 -0.887394	 0.048567	 -0.315524	 -0.390859	 -0.392569	 -0.668974	 -0.426411	 -0.599297	 0.000000	 0.532119	 0.512904	 0.464367	 0.556003	 0.437517	 0.167092	 0.087278	 0.401128	 0.234535	 0.372582	 0.197355	 0.115439	 0.203097	 0.183089	 
>gi|47779033|gb|AAT38396.1| gp37 [Burkholderia phage BcepC6B]	 -0.998012	 -0.991782	 -0.984785	 -0.994409	 -0.991509	 -0.997672	 -0.996410	 -0.479537	 -0.713694	 -0.800329	 -0.898656	 -0.945636	 -0.932064	 -0.938108	 0.000000	 0.002486	 0.010033	 0.040979	 0.013604	 0.010098	 0.003127	 0.003344	 0.322497	 0.189005	 0.143433	 0.069883	 0.074005	 0.120786	 0.065112	 
